Review,Date
хотелось поблагодарить банк тинькофф частности сотрудницу викторию внутренний номер 594077 внимание сложившейся проблеме помощи решении первый убеждаюсь банк слышит своих клиентов реагирует старается помочь лучших банков стране уровню обучения персонала решению вопросов пользу клиентов виктория очень быстро вникла вопрос принесла извинения действия сотрудника который дал верную консультацию качестве извинений банк начислил 500 рублей подписью ценим это безумно приятно желаю банку процветания дальнейшего профессионального обучения персонала продолжать перенимать зарубежный высокий опыт обслуживания которого многим российским банкам расти расти профессиональная поддержка 247 премиумподдержка премиум уровне,2024-03-30 12:36:20
написал чат 30032024 0042 ответил данияр возникла проблема начислением 10 кэшбэка покупку магазине улыбка радуги оказывается получить нужно произвести оплату сайте приложении оплатил магазине начислили обращения чат пошли встречу выплатили кэшбэк хочу выразить благодарность банку оператору лояльное отношение своим клиентам,2024-03-30 11:00:29
280324 купила товар который кэшбэк чек остался магазине следующий день взяла магазине копию чека распечаткой товаров всеми реквизитами qr кода копии просто бывает отослала фото копии чека консультант сергей отклонил мою заявку кэшбэк 222 рубля размер кэшбэка которые начислили такие большие деньги обидно проблема невелика решить её пользу клиента банк неужели нужны клиенты буду рассматривать другие банки сотрудничества,2024-03-30 10:56:53
здравствуйте обращался поддержку тинькофф вопросу списания средств моего согласия 29032024 время 0108 вопрос услышан сутки пришли деньги обратно спасибо большое банку тинькофф сотрудникам сожалению имени запомнил менее всем благодарен советую обращаться,2024-03-30 10:36:01
банком тинькофф работаю физ лицо длительное время решил открыть расчётный счёт очень доволен сотрудничеством быстро отвечают приложении сотрудники операторы помогают настройках самого приложения услуг тарифу сотрудничал тинькофф парой других банков буду сообщать какими осадок разошлись советую банк основной расчётный счёт инвестиционный дебетовый кредитный,2024-03-30 09:41:16
произошла очень странная ситуация разделе акции указано бронировании оплате яндекс путешествий кэбэк 10 перехожу ссылке делаю согласно вашему описанию итоге приходит поддержка морозится дурак сделал других вариантов сделать перешел ссылке забронировал оплатил бред первый такое этим банком ранее ошибка начислении исправляли ту,2024-03-30 09:03:38
августе 2023 года открыла карту мир заранее сообищив карта нужна получения бюджетных выплаты получения карты реквизиты передала бюджетную организацию вчера налог увидела открыто рс второго счета приложении банка видно обратилась чат внятного объяснения получила позвонив горячую линию сообщил счёт технический открыт законно моего заявление ссылаясь закон тк получаю бюджетные выплаты открыла платёжки указан рс который изначально который передан бюджетную организацию изначально карта мир деньги поступали проблем нужен технический счёт непонятно никому деньги зачисляются рс который предоставлен получается технический счёт открыт банком целью получить бонусы мол работаем открыли счёт заплатите нам баллы предположить изначальный счёт бюджетный почему банк предложил закрыть вместо передать бюджетную организацию технический счёт просто сотрудники открытии счетов зарабатывают отправлю жалобу цб возможно дадут нормальное разъяснение этому бреду кроме банковский бот неверно произносит мое имя перезапись отправить хотят хотя банк проблем перезаписал бот правильно ко обращается p отзыв написан страницы мужа,2024-03-30 08:39:28
мариам огромная благодарность помощь открытии ип помогли заполнением заявки подробно проконсультировали каждому этапу подали идеи продуктивно очень полезно именно поэтому люблю банк тинькоф лучший сервис услуги цены навсегда ваш клиент,2024-03-30 08:29:34
добрый день благодарен сотруднику виктору отдела помощи прохождения финансовой проверки виктор ответил мои вопросы вел протяжении процесса решения проблемы благодаря компетентности виктора прошко финансовую проверку меньше сутки очень впечатлен работой виктора спасибо,2024-03-30 08:24:02
сняли деньги подписку старте 3 месяца прочитал интернете тинькофф поможет вернуть деньги приятно удивлён единственный банк который поможет вернуть тебе принадлежит оповещения просто сняли деньги знают предупредить человек отменит подписку выражаю благодарность тинькофф банку,2024-03-30 06:47:22
