Review,Date
"Хотелось бы поблагодарить банк Тинькофф, в частности сотрудницу Викторию ( внутренний номер 594077)  за внимание к сложившейся проблеме и помощи в ее решении. Уже не первый раз убеждаюсь, что банк слышит своих клиентов и всегда реагирует и старается помочь, один из лучших банков в стране, как по уровню обучения персонала, так и по решению вопросов в пользу клиентов. Виктория очень быстро вникла в вопрос, принесла извинения за действия сотрудника, который дал не совсем верную консультацию и в качестве извинений банк начислил 500 рублей с подписью ""Мы Вас ценим"". Это безумно приятно. Желаю банку процветания, дальнейшего профессионального обучения персонала, продолжать перенимать зарубежный высокий опыт обслуживания, до которого многим российским банкам еще расти и расти. Профессиональная поддержка 24/7, премиум-поддержка на премиум уровне!",2024-03-30 12:36:20
"Я написал в чат 30.03.2024 в 00:42, и мне ответил Данияр. У меня возникла проблема с начислением 10% кэшбэка за покупку в магазине: Улыбка радуги. Оказывается, чтобы его получить, нужно было произвести оплату на сайте или в приложении. Так как я оплатил в магазине, то мне его не начислили. После обращения в чат мне пошли на встречу и выплатили кэшбэк. Хочу выразить благодарность банку и оператору за лояльное отношение к своим клиентам.",2024-03-30 11:00:29
"28.03.24. купила товар, на который у меня кэшбэк, но чек остался в магазине. На следующий день взяла в магазине копию чека с распечаткой всех товаров и всеми реквизитами, но без QR- кода (на копии его просто не бывает). Отослала фото копии чека. Но консультант Сергей отклонил мою заявку на кэшбэк. Да, 222 рубля (размер кэшбэка), которые мне не начислили, не такие большие деньги. Но обидно, что проблема невелика, но решить её в пользу клиента банк не может. Неужели не нужны клиенты. Буду рассматривать другие банки для сотрудничества.",2024-03-30 10:56:53
Здравствуйте. Обращался в поддержку Тинькофф По вопросу списания средств без моего согласия 29.03.2024 время 01:08 мой вопрос был услышан и за сутки пришли деньги обратно  Спасибо большое банку Тинькофф и его сотрудникам) к сожалению имени не запомнил но тем не менее всем благодарен и советую обращаться  ,2024-03-30 10:36:01
"С Банком Тинькофф работаю как физ лицо длительное время. Решил здесь же открыть расчётный счёт. Очень доволен сотрудничеством. Быстро отвечают в приложении сотрудники (операторы), помогают при настройках как самого приложения, так и услуг по тарифу. Сотрудничал до Тинькофф с парой других банков (не буду сообщать с какими), после них осадок, разошлись. Советую этот банк - он у меня основной. Здесь у меня расчётный счёт, инвестиционный, дебетовый и кредитный.",2024-03-30 09:41:16
"Произошла очень странная ситуация, в в разделе акции у Вас указано, что при  бронировании и оплате Яндекс путешествий кэбэк 10%. Перехожу по ссылке, все делаю согласно Вашему же описанию. И что в итоге? Он конечно не приходит. Поддержка морозится, - сам дурак не так все сделал. А других вариантов как сделать нет. Перешел по ссылке - забронировал - оплатил ? Что за бред?? Первый раз такое с этим банком. Ранее когда были ошибка в начислении всегда исправляли, ту что не так??? ",2024-03-30 09:03:38
"В августе 2023 года я открыла карту МИР, заранее сообищив, что карта нужна для получения бюджетных выплаты. После получения карты, реквизиты передала в бюджетную организацию. Вчера в ""Мой налог"" увидела, что у меня открыто два р/с, при этом, второго счета в приложении банка не видно. Обратилась в чат, внятного объяснения не получила. Позвонив на горячую линию, мне сообщил, что этот счёт технический и открыт законно (но без моего заявление), ссылаясь на закон, т.к. я получаю бюджетные выплаты. Открыла все платёжки, во всех указан тот р/с, который был изначально и который был передан в бюджетную организацию.  Если у меня изначально была карта МИР, деньги поступали без проблем, для чего нужен технический счёт - непонятно никому. Деньги зачисляются на тот р/с, который предоставлен. Получается, что этот ""технический"" счёт открыт банком с целью получить бонусы, мол мы хорошо работаем, открыли счёт, заплатите нам баллы. Если предположить, что изначальный счёт не бюджетный, то почему банк не предложил мне закрыть его, вместо него передать в бюджетную организацию ""технический"" счёт? Да все просто, сотрудники на открытии счетов зарабатывают. Я отправлю жалобу в ЦБ, возможно, там дадут нормальное разъяснение этому бреду  Кроме этого, банковский бот неверно произносит мое имя, на перезапись отправить не хотят, хотя другой банк без проблем перезаписал и бот правильно ко мне обращается.  P.S. Отзыв написан со страницы мужа.",2024-03-30 08:39:28
"Мариам, огромная Вам благодарность за помощь в открытии ИП. Не только помогли с заполнением заявки, но и подробно проконсультировали по каждому этапу, даже подали идеи. Продуктивно и очень полезно. Именно поэтому я так люблю банк Тинькоф. Лучший, за сервис, за услуги, за цены. Навсегда  ваш клиент ",2024-03-30 08:29:34
"Добрый день! Благодарен сотруднику Виктору В, из отдела помощи прохождения финансовой проверки. Виктор ответил на все мои вопросы и вел меня на протяжении всего процесса решения этой проблемы. Благодаря компетентности Виктора, прошко финансовую проверку меньше, чем за сутки. Очень впечатлен работой Виктора! Спасибо!",2024-03-30 08:24:02
"Сняли деньги за подписку на старте за 3 месяца, прочитал в интернете что Тинькофф поможет вернуть эти деньги, был приятно удивлён что так и есть, единственный банк который поможет вернуть то что тебе принадлежит, без оповещения просто сняли деньги, потому что знают если предупредить человек отменит подписку. Еще раз выражаю благодарность Тинькофф банку.",2024-03-30 06:47:22
